Id,Description,Reason
ALBU_BOVIN,(P02769) Serum albumin precursor (Allergen Bos d 6) (BSA),Reagent and lab contaminant
CTRA_BOVIN,(P00766) Chymotrypsinogen A (EC 3.4.21.1) [Contains: Chymotrypsin A chain A; Chymotrypsin A chain B; Chymotrypsin A chain C],Reagent
CTRB_BOVIN,(P00767) Chymotrypsinogen B (EC 3.4.21.1) [Contains: Chymotrypsin B chain A; Chymotrypsin B chain B; Chymotrypsin B chain C],Reagent
LALBA_BOVIN,(P00711) Alpha-lactalbumin precursor (Lactose synthase B protein) (Allergen Bos d 4),Reagent and lab contaminant
LYSC_LYSEN,(Q7M135) Lysyl endopeptidase (EC 3.4.21.50) (Lys-C),Reagent
PEPA_BOVIN,(P00792) Pepsin A precursor (EC 3.4.23.1),Reagent
PEPA_PIG,(P00791) Pepsin A precursor (EC 3.4.23.1),Reagent
PEPB_PIG,(Q10735) Pepsin B precursor (EC 3.4.23.2) (Parapepsin I) (Fragment),Reagent
PEPC_PIG,(P30879) Gastricsin precursor (EC 3.4.23.3) (Pepsinogen C) (Fragment),Reagent
SSPA_STAAU,(P04188) Glutamyl endopeptidase precursor (EC 3.4.21.19) (Staphylococcal serine proteinase) (V8 protease) (V8 proteinase) (Endoproteinase Glu-C),Reagent
TRY1_BOVIN,(P00760) Cationic trypsin precursor (EC 3.4.21.4) (Beta-trypsin) [Contains: Alpha-trypsin chain 1; Alpha-trypsin chain 2] (Fragment),Reagent
TRY2_BOVIN,(Q29463) Anionic trypsin precursor (EC 3.4.21.4),Reagent
TRYP_PIG,(P00761) Trypsin precursor (EC 3.4.21.4),Reagent
CAS1_BOVIN,(P02662) Alpha-S1-casein precursor,Reagent and lab contaminant
CAS2_BOVIN,(P02663) Alpha-S2-casein precursor [Contains: Casocidin-1 (Casocidin-I)],Reagent and lab contaminant
CASB_BOVIN,(P02666) Beta-casein precursor,Reagent and lab contaminant
CASK_BOVIN,(P02668) Kappa-casein precursor [Contains: Casoxin C; Casoxin 6; Casoxin A; Casoxin B; Casoplatelin],Reagent and lab contaminant
GFP_AEQVI,(P42212) Aequorea victoria Green fluorescent protein,Reagent
PLMP_GRIFR,(P81054) Peptidyl-Lys metalloendopeptidase precursor - Grifola frondosa (LysN),Reagent
